badge_no,packaged_filename,original_filename,width,height,mode,alpha_min,alpha_max,corner_alpha,source_sha256,packaged_sha256,note
31,Reader_Normal_031.png,85c4f8ff-06a6-42c1-9051-64bc8a0f7cc7.png,1254,1254,RGBA,0,255,0/0/0/0,3732bdb52a0dccdaa4ce018fb04e910b7c72027b45a0226c6ecb6eaa8838e362,3732bdb52a0dccdaa4ce018fb04e910b7c72027b45a0226c6ecb6eaa8838e362,byte-for-byte copy of approved source
32,Reader_Normal_032.png,11d2797b-dede-4dc5-8373-cd5554f2fcc6.png,1254,1254,RGBA,0,255,0/0/0/0,a65dd104215d59d858a27c15579f013b4e3c1d24a2f98d04f3b435d7608d02c2,a65dd104215d59d858a27c15579f013b4e3c1d24a2f98d04f3b435d7608d02c2,byte-for-byte copy of approved source
33,Reader_Normal_033.png,c662735d-b7dc-42c9-b840-812100d59dc7.png,1254,1254,RGBA,0,255,0/0/0/0,67bf116a199815ee5a2c6dc10cf47b6310e34a6403ef0e758d56fc3ee58d4e20,67bf116a199815ee5a2c6dc10cf47b6310e34a6403ef0e758d56fc3ee58d4e20,byte-for-byte copy of approved source
34,Reader_Normal_034.png,cf5c351a-a3aa-438c-a537-f6094104b0ee.png,1254,1254,RGBA,0,255,0/0/0/0,8baa72608748df30352f50c9ca69dad8fbb5ecbaf61cfceee963287de7b4fd06,8baa72608748df30352f50c9ca69dad8fbb5ecbaf61cfceee963287de7b4fd06,byte-for-byte copy of approved source
35,Reader_Normal_035.png,0f0adebe-acfc-4031-ac38-dc8dbc16ca28.png,1254,1254,RGBA,0,255,0/0/0/0,b0a1457de90f3a5c99170f1a2a2ba46862ee006cd75f302212a4c84fc726cf09,b0a1457de90f3a5c99170f1a2a2ba46862ee006cd75f302212a4c84fc726cf09,byte-for-byte copy of approved source
36,Reader_Normal_036.png,9f1a8c0a-3085-47cd-bbf2-c5cd896dbe31.png,1254,1254,RGBA,0,255,0/0/0/0,0f023b525f36f397cc8fb5c230c0a466ab048da881af7d2c32786d2398bdb53c,0f023b525f36f397cc8fb5c230c0a466ab048da881af7d2c32786d2398bdb53c,byte-for-byte copy of approved source
37,Reader_Normal_037.png,acb416dd-107e-41da-8127-cdc010811ea5.png,1254,1254,RGBA,0,255,0/0/0/0,43821796d08b9005e133c92040a7b3a18d961dc3622d5b5b892094dad9e5d6ba,43821796d08b9005e133c92040a7b3a18d961dc3622d5b5b892094dad9e5d6ba,byte-for-byte copy of approved source
38,Reader_Normal_038.png,f9a6728b-76f7-4547-8914-d933e2da3863.png,1254,1254,RGBA,0,255,0/0/0/0,c115e0068dd70d8a6e9252f955250ca38130d28079a9c1c725fab83a017ae8e9,c115e0068dd70d8a6e9252f955250ca38130d28079a9c1c725fab83a017ae8e9,byte-for-byte copy of approved source
39,Reader_Normal_039.png,baf56310-7391-4e4a-b108-daf1fdd07890.png,1254,1254,RGBA,0,255,0/0/0/0,03c14c3da06bc1961b0ba32ab3ed8e7b64a382c72584960ed5e58184b9692710,03c14c3da06bc1961b0ba32ab3ed8e7b64a382c72584960ed5e58184b9692710,byte-for-byte copy of approved source
40,Reader_Normal_040.png,5adbe555-249f-47fe-83a6-61303f9a3b3b.png,1254,1254,RGBA,0,255,0/0/0/0,d8c945a96a1b5a67eb464e738496cc8648112b681aa2b9a076aee76f3e879886,d8c945a96a1b5a67eb464e738496cc8648112b681aa2b9a076aee76f3e879886,byte-for-byte copy of approved source
41,Reader_Normal_041.png,ff64ddf9-130b-436a-ab79-5b11ff41bcdd.png,1254,1254,RGBA,0,255,0/0/0/0,814540d2a7ee03dd8e875188724993e1dbddc1191658e0da8bdb280a1c533630,814540d2a7ee03dd8e875188724993e1dbddc1191658e0da8bdb280a1c533630,byte-for-byte copy of approved source
42,Reader_Normal_042.png,f1187764-b885-4fc8-801f-4d85188cc612.png,1254,1254,RGBA,0,255,0/0/0/0,6954529f2a576182759158aa5d81b214a2acfeb434be487485ba95bf61c788b7,6954529f2a576182759158aa5d81b214a2acfeb434be487485ba95bf61c788b7,byte-for-byte copy of approved source
43,Reader_Normal_043.png,ab8c4d7e-e6f8-48fe-ab8a-70e97d4caea6.png,1254,1254,RGBA,0,255,0/0/0/0,1ca1d7164c7eebf4f8582a73478e925c0dc5bd867d09b2cf6b72a0c4c89042a1,1ca1d7164c7eebf4f8582a73478e925c0dc5bd867d09b2cf6b72a0c4c89042a1,byte-for-byte copy of approved source
44,Reader_Normal_044.png,e19b1801-4673-4455-84f3-09a526846515.png,1254,1254,RGBA,0,255,0/0/0/0,e56cc3b38bd06f5cb0d944c7159bbc947b23bc279f9d81847f0e8d1e84ac4db1,e56cc3b38bd06f5cb0d944c7159bbc947b23bc279f9d81847f0e8d1e84ac4db1,byte-for-byte copy of approved source
45,Reader_Normal_045.png,9e5949f3-d244-4397-a6de-c6535ae68bec.png,1254,1254,RGBA,0,255,0/0/0/0,684b5e419f55007f0afdb8ce0b718773935c1fbc5b621436c23c470b40549971,b7a6944b7358cadaaa519ef474a5ff72ab1d29377cb296d25df3eb194467bb11,approved design; exterior black canvas mechanically converted to alpha transparency
46,Reader_Normal_046.png,14867087-a6c7-4ee6-80f3-6a038f78ee48.png,1254,1254,RGBA,0,255,0/0/0/0,d64c8a7013f3e63d775d121f803dd1a71d4ee979d1bf1fba9310932205d44d98,d64c8a7013f3e63d775d121f803dd1a71d4ee979d1bf1fba9310932205d44d98,byte-for-byte copy of approved source
47,Reader_Normal_047.png,b683ddce-4f09-4ab0-a39a-35d51b8f3a15.png,1254,1254,RGBA,0,255,0/0/0/0,42afa8275563618b2a75a733e3639e5ffb2712f7caf6af8db65126562c6cf31c,42afa8275563618b2a75a733e3639e5ffb2712f7caf6af8db65126562c6cf31c,byte-for-byte copy of approved source
48,Reader_Normal_048.png,ab6fe9af-4b15-41ac-aa28-1d44ddd9f8a0.png,1254,1254,RGBA,0,255,0/0/0/0,3331a452db820dc3d3076e81328f5345a372888bde3c77066bf58428f0e6aaa8,3331a452db820dc3d3076e81328f5345a372888bde3c77066bf58428f0e6aaa8,byte-for-byte copy of approved source
49,Reader_Normal_049.png,41b3a688-635e-4610-b5f2-90a8efded8ad.png,1254,1254,RGBA,0,255,0/0/0/0,cbdd2f1ac356ddca45f8e1b5bd5dcc235520028170d19dc9f7fce863afdb8a95,cbdd2f1ac356ddca45f8e1b5bd5dcc235520028170d19dc9f7fce863afdb8a95,byte-for-byte copy of approved source
50,Reader_Normal_050.png,2854a356-e1c1-4e24-ad66-43ac02ba368a.png,1254,1254,RGBA,0,255,0/0/0/0,703126af63dbcd6a3cc74ba71afa84ff743e7256635c0b4bb1a872deabe7e935,703126af63dbcd6a3cc74ba71afa84ff743e7256635c0b4bb1a872deabe7e935,byte-for-byte copy of approved source
51,Reader_Normal_051.png,957f5a44-eefd-400f-9924-e469692ddfa3(1).png,1254,1254,RGBA,0,255,0/0/0/0,0bc0d4f2239a7e68319ee0ed7780ed749ee4bed56fddbae52e32a1a6435dc2d0,0bc0d4f2239a7e68319ee0ed7780ed749ee4bed56fddbae52e32a1a6435dc2d0,byte-for-byte copy of approved source
52,Reader_Normal_052.png,a0efe3c2-7aff-46f3-9437-7ac663d2ec8c.png,1254,1254,RGBA,0,255,0/0/0/0,de2834a022e58e6e9e49ba4c0808639de0b18bd8ed76d6615334db2430cea1f9,de2834a022e58e6e9e49ba4c0808639de0b18bd8ed76d6615334db2430cea1f9,byte-for-byte copy of approved source
53,Reader_Normal_053.png,05e708e3-1bc1-4897-9dfc-8e58890cf194.png,1254,1254,RGBA,0,255,0/0/0/0,da4355dbcc13ed8e1a95ef65dd38f55c254e761205d983c66e4b4a6de6a9f4de,da4355dbcc13ed8e1a95ef65dd38f55c254e761205d983c66e4b4a6de6a9f4de,byte-for-byte copy of approved source
54,Reader_Normal_054.png,d585f1c2-3229-4389-adf7-fb2ba048025a.png,1254,1254,RGBA,0,255,0/0/0/0,ce51fe104a1ceb664db98c0928dc7bd5ccb9048d49a7d0d5db86931f209de170,ce51fe104a1ceb664db98c0928dc7bd5ccb9048d49a7d0d5db86931f209de170,byte-for-byte copy of approved source
55,Reader_Normal_055.png,4793477c-1e2e-40e7-a493-ca29ed495847.png,1254,1254,RGBA,0,255,0/0/0/0,a2e0dcac263e0ef60013064ae6770badc46e68764afdf684667aa5e27a244cce,a2e0dcac263e0ef60013064ae6770badc46e68764afdf684667aa5e27a244cce,byte-for-byte copy of approved source
56,Reader_Normal_056.png,ec0dc87e-3f83-4bc9-8486-a2d3ab2b65de.png,1254,1254,RGBA,0,255,0/0/0/0,91640843592c1219b5690831b4c8e0f0ca64fe1ee89a1d7d3853ca833cf878c2,91640843592c1219b5690831b4c8e0f0ca64fe1ee89a1d7d3853ca833cf878c2,byte-for-byte copy of approved source
57,Reader_Normal_057.png,21fd9cfc-372d-4652-b41e-8c495c47e569.png,1254,1254,RGBA,0,255,0/0/0/0,70254679b57d7a15e8da86938c1e9e728abc477adf0f9ae3f138aaf980dcbf3c,70254679b57d7a15e8da86938c1e9e728abc477adf0f9ae3f138aaf980dcbf3c,byte-for-byte copy of approved source
58,Reader_Normal_058.png,c3133163-2c3f-43d9-ad59-733e20d967b6.png,1254,1254,RGBA,0,255,0/0/0/0,50fa117376abf52484273238173e883e214df1910f09096fc94947116a1769e9,50fa117376abf52484273238173e883e214df1910f09096fc94947116a1769e9,byte-for-byte copy of approved source
59,Reader_Normal_059.png,3017f55a-c9b9-4b80-9f8e-04a4f7c7b065.png,1254,1254,RGBA,0,255,0/0/0/0,67ef9f4a445a599f23e5506a5f4bf7892f38c286c00d9a18d8da4b946e404cac,67ef9f4a445a599f23e5506a5f4bf7892f38c286c00d9a18d8da4b946e404cac,byte-for-byte copy of approved source
60,Reader_Normal_060.png,af884fdc-2276-423f-8d31-8dc97d1bab24.png,1254,1254,RGBA,0,255,0/0/0/0,307e2cb48dbb1d2ca64a247f8a9a2c316beec05f255d3ac2eec74732763464df,307e2cb48dbb1d2ca64a247f8a9a2c316beec05f255d3ac2eec74732763464df,byte-for-byte copy of approved source
61,Reader_Normal_061.png,32c00efa-4084-4626-82ce-c8393cb9945a.png,1254,1254,RGBA,0,255,0/0/0/0,11ea55b60c4e7461d293697b2a363ccdaec80630e0a8a48475425414cdbcc191,11ea55b60c4e7461d293697b2a363ccdaec80630e0a8a48475425414cdbcc191,byte-for-byte copy of approved source
62,Reader_Normal_062.png,463d548e-5d9a-4bfe-95a5-58bcdef47570.png,1254,1254,RGBA,0,255,0/0/0/0,2073b8d4a4e22b8ad5f3165367722ab3b0e046935020423ae5784e230eafa928,2073b8d4a4e22b8ad5f3165367722ab3b0e046935020423ae5784e230eafa928,byte-for-byte copy of approved source
63,Reader_Normal_063.png,e6ead243-d025-4a60-b586-80d1276cecaf.png,1254,1254,RGBA,0,255,0/0/0/0,debb411535f8bb6febd66ca28b0e9b6ce151af62a2936dbf73e6632b19229a8e,debb411535f8bb6febd66ca28b0e9b6ce151af62a2936dbf73e6632b19229a8e,byte-for-byte copy of approved source
64,Reader_Normal_064.png,82808d38-e4eb-4c36-9bcc-985ea6deb73b.png,1254,1254,RGBA,0,255,0/0/0/0,41eef9de3f4bbc2147390f5d0bdd85abf8dccb18174eeb116039552ea39356f9,41eef9de3f4bbc2147390f5d0bdd85abf8dccb18174eeb116039552ea39356f9,byte-for-byte copy of approved source
65,Reader_Normal_065.png,d378ea94-4584-4b94-9fad-0ecd9b516cff.png,1254,1254,RGBA,0,255,0/0/0/0,c97b467be5b2776cfdfd3388c274618efb181ebe238afff7fa40510c2d588151,c97b467be5b2776cfdfd3388c274618efb181ebe238afff7fa40510c2d588151,byte-for-byte copy of approved source
66,Reader_Normal_066.png,8931e67d-d5ee-42e2-b00d-06bd19553387.png,1254,1254,RGBA,0,255,0/0/0/0,28f0a81f51ee63e7bec602017ec9c14da312b207d992760867db45b8beba5844,28f0a81f51ee63e7bec602017ec9c14da312b207d992760867db45b8beba5844,byte-for-byte copy of approved source
67,Reader_Normal_067.png,a8a77e79-7bac-4b58-840a-bb636b6f1abe.png,1254,1254,RGBA,0,255,0/0/0/0,8266c179387e04bc07f7b1b064879d982adbb89e9fecfa22655386666a0d2a30,8266c179387e04bc07f7b1b064879d982adbb89e9fecfa22655386666a0d2a30,byte-for-byte copy of approved source
68,Reader_Normal_068.png,a75e5eaa-0a2b-4116-b415-f48a4258d49f.png,1254,1254,RGBA,0,255,0/0/0/0,42f85999616a5dcaf56aea6e9f73305ffb5e2d403caf9d3f6167b68e2709151b,cef51dbddab37aeaf09a533a4ac207f99c834abaa382c99138df0f86ba07e2ac,byte-for-byte copy of approved source; corner alpha normalized 1→0
69,Reader_Normal_069.png,1d7688ae-1e2a-4877-a4b1-45049cc129d8.png,1254,1254,RGBA,0,255,0/0/0/0,d445b0d52c22819a58944202eb4aed7b3df46669a87bec6f741ea62a4fae8224,d445b0d52c22819a58944202eb4aed7b3df46669a87bec6f741ea62a4fae8224,byte-for-byte copy of approved source
70,Reader_Normal_070.png,55d0d4e1-ed22-430e-8ae4-90f250f6f967.png,1254,1254,RGBA,0,255,0/0/0/0,85952ce39f32e4d87eebb7ec889d57474348f64fa886a6f1daf8285ebff5fe39,85952ce39f32e4d87eebb7ec889d57474348f64fa886a6f1daf8285ebff5fe39,byte-for-byte copy of approved source
71,Reader_Normal_071.png,856c8185-6524-4c08-b23a-8062804ddbff.png,1254,1254,RGBA,0,255,0/0/0/0,f8ca132dc4aadde8b4efdf8dcd743ef0d12925853c99dd5f3e0edd1ca17e3112,f8ca132dc4aadde8b4efdf8dcd743ef0d12925853c99dd5f3e0edd1ca17e3112,byte-for-byte copy of approved source
72,Reader_Normal_072.png,9b9c3ca3-dffb-4c20-92a2-abe7b350eec6.png,1254,1254,RGBA,0,255,0/0/0/0,3dbdea342eb2df29ee1f6cdee38f50a71d05a7a6d13f2b0736ee26af90322abc,3dbdea342eb2df29ee1f6cdee38f50a71d05a7a6d13f2b0736ee26af90322abc,byte-for-byte copy of approved source
73,Reader_Normal_073.png,5ca4e7bf-b7af-4c9f-b74e-929b99255afa.png,1254,1254,RGBA,0,255,0/0/0/0,ab6fdec5374a33606121f94be692fd0de826404f55fc3e45bd061377c46d5dbd,ab6fdec5374a33606121f94be692fd0de826404f55fc3e45bd061377c46d5dbd,byte-for-byte copy of approved source
74,Reader_Normal_074.png,318401c8-3f00-4839-ba0a-8c9a2dbdcbdd.png,1254,1254,RGBA,0,255,0/0/0/0,ae3fffa8a78103049ae0cb465f22bb8e025ce81e17630b4ee099e87e3d5a3a61,ae3fffa8a78103049ae0cb465f22bb8e025ce81e17630b4ee099e87e3d5a3a61,byte-for-byte copy of approved source
75,Reader_Normal_075.png,c91c73c5-b001-4b3e-8eb8-d5a2684f5aa5.png,1254,1254,RGBA,0,255,0/0/0/0,74cb1e5faff145c7e7d076f7b551ea3b93a549830c70d2bafae44c90cc4f2172,74cb1e5faff145c7e7d076f7b551ea3b93a549830c70d2bafae44c90cc4f2172,byte-for-byte copy of approved source
76,Reader_Normal_076.png,ed21f6d3-3efc-4809-9f37-ceefb02f9da6.png,1254,1254,RGBA,0,255,0/0/0/0,27e8c5ef5d17fee2c4edd338e8e1f6f552ffae62e2bb0c193e98afb1f4f3f647,27e8c5ef5d17fee2c4edd338e8e1f6f552ffae62e2bb0c193e98afb1f4f3f647,byte-for-byte copy of approved source
77,Reader_Normal_077.png,a73d4938-7983-43a5-b0cf-036f027f2f65.png,1254,1254,RGBA,0,255,0/0/0/0,92516790743eadfb2ab2b53103a515dc06930fcc2c42bee876a65dfc7d5bf602,92516790743eadfb2ab2b53103a515dc06930fcc2c42bee876a65dfc7d5bf602,byte-for-byte copy of approved source
78,Reader_Normal_078.png,5e9e9edb-68e6-435d-b2e6-e6c9072d486d.png,1254,1254,RGBA,0,255,0/0/0/0,8f7450872f5c80a517de3ba3bae2b95d75bd86cea3c631600668d30a1645e909,8f7450872f5c80a517de3ba3bae2b95d75bd86cea3c631600668d30a1645e909,byte-for-byte copy of approved source
79,Reader_Normal_079.png,6e6e79a2-a8ae-4d4d-84e4-e33089c79376.png,1254,1254,RGBA,0,255,0/0/0/0,5362452b4335271aa0490f1b220210871628760bd70b9c9b1d58485ca01e7147,5362452b4335271aa0490f1b220210871628760bd70b9c9b1d58485ca01e7147,byte-for-byte copy of approved source
80,Reader_Normal_080.png,NOVELIGHT_Reader_Normal_80_LUMEN_ARCHIVE_transparent(1).png,1254,1254,RGBA,0,255,0/0/0/0,de9a03d6922c0d9b5924ce87ab78b8a2ec5895d75039fc5bc8e09f40a58b33be,de9a03d6922c0d9b5924ce87ab78b8a2ec5895d75039fc5bc8e09f40a58b33be,byte-for-byte copy of approved source
